,,Aesthetic,Domestic,Dust Control,Fire Protection,Fish Culture,Fish and Wildlife Protection and/or Enhancement,Frost Protection,Heat Protection,Incidental Power,Industrial,Irrigation,Milling,Mining,Municipal,Other,Power,Recreational,Snow Making,Stockwatering,ApplID,Report_ID
0,,,,,,,296,,,,,"5751
                Acres
                Rice",,,,Rice Straw Decomp,,,,,A000018,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=120099
1,No Use, ,,,,,,"0
                Acres","0
                Acres","6
                kW",,,,,0,,"10900
                kW",,"0
                Acres",,A000023,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=159062
2, , ,Incidental,around cabin,Fire protection pond for filling fire fighting helicopters and trucks,camp jubilee,San Joaquin River flows,"10
                Acres", ,"30
                kW",mixed,, ,Underground,5000,3000 Straw Decomp,"11500
                kW",recreation at Millerton Lake, ,"3 resident horses, up to 100 temporary horses from Rock Creek Pack Station",A000026,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=210057
3, , ,incidental,around the cabin,fire protection pond for filling fire fighting helicopters and trucks, ,wildlife management, , ,"160
                kW",Light manufacturing,"5751
                Acres
                Other", ,underground,39515,3000 Straw decomp,"259
                MW",recreation at Millerton, ,3 resident horses; up to 100 temporary horses from Rock Creek Pack Station,A000027,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236566
4, , ,20,property,Polly Creek, ,wildlife watering, , , ,Light Manufacturing,"948505
                Acres
                Mixed Crop Types", ,Underground Hardrock,37903,3000  Straw Decomp,"104.38
                MW",4 recreational cabins, ,67 cows,A000042,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=295725
